[  626.320981] CMPE 283 Assignment 1 Module Start
[  626.320983] Pinbased Controls MSR: 0x3f00000016
[  626.320985]   External Interrupt Exiting: Can set=Yes, Can clear=Yes
[  626.320986]   NMI Exiting: Can set=Yes, Can clear=Yes
[  626.320986]   Virtual NMIs: Can set=Yes, Can clear=Yes
[  626.320986]   Activate VMX Preemption Timer: Can set=No, Can clear=Yes
[  626.320987]   Process Posted Interrupts: Can set=No, Can clear=Yes
[  626.320988] Primary procbased Controls MSR: 0xfff9fffe0401e172
[  626.320988]   Interrupt Window Exiting: Can set=Yes, Can clear=Yes
[  626.320989]   Use TSC offsetting: Can set=Yes, Can clear=Yes
[  626.320989]   HLT exiting: Can set=Yes, Can clear=Yes
[  626.320989]   INVLPG exiting: Can set=Yes, Can clear=Yes
[  626.320990]   MWAIT exiting: Can set=Yes, Can clear=Yes
[  626.320990]   RDPMC exiting: Can set=Yes, Can clear=Yes
[  626.320990]   RDTSC exiting: Can set=Yes, Can clear=Yes
[  626.320991]   CR3-load exiting: Can set=Yes, Can clear=No
[  626.320991]   CR3-store exiting: Can set=Yes, Can clear=No
[  626.320991]   Activate tertiary controls: Can set=No, Can clear=Yes
[  626.320991]   CR8-load exiting: Can set=Yes, Can clear=Yes
[  626.320992]   CR8-store exiting: Can set=Yes, Can clear=Yes
[  626.320992]   Use TPR shadow: Can set=Yes, Can clear=Yes
[  626.320992]   NMI-window exiting: Can set=Yes, Can clear=Yes
[  626.320993]   MOV-DR exiting: Can set=Yes, Can clear=Yes
[  626.320993]   Unconditional I/O exiting: Can set=Yes, Can clear=Yes
[  626.320993]   Use I/O bitmaps: Can set=Yes, Can clear=Yes
[  626.320994]   Monitor trap flag: Can set=Yes, Can clear=Yes
[  626.320994]   Use MSR bitmaps: Can set=Yes, Can clear=Yes
[  626.320994]   MONITOR exiting: Can set=Yes, Can clear=Yes
[  626.320995]   PAUSE exiting: Can set=Yes, Can clear=Yes
[  626.320995]   Activate secondary controls: Can set=Yes, Can clear=Yes
[  626.320996] Secondary procbased Controls MSR: 0x553cfe00000000
[  626.320997]   Virtualize APIC accesses: Can set=No, Can clear=Yes
[  626.320997]   Enable EPT: Can set=Yes, Can clear=Yes
[  626.320997]   Descriptor-table exiting: Can set=Yes, Can clear=Yes
[  626.320998]   Enable RDTSCP: Can set=Yes, Can clear=Yes
[  626.320998]   Virtualize x2APIC mode: Can set=Yes, Can clear=Yes
[  626.320998]   Enable VPID: Can set=Yes, Can clear=Yes
[  626.320998]   WBINVD exiting: Can set=Yes, Can clear=Yes
[  626.320999]   Unrestricted guest: Can set=Yes, Can clear=Yes
[  626.320999]   APIC-register virtualization: Can set=No, Can clear=Yes
[  626.320999]   Virtual-interrupt delivery: Can set=No, Can clear=Yes
[  626.321000]   PAUSE-loop exiting: Can set=Yes, Can clear=Yes
